Index	X	Y	Z
0	199	1104	0
1	198	1049	0
2	197	994	0
3	196	939	0
4	195	928	0
5	194	1093	0
6	193	1115	0
7	192	1093	0
8	191	1082	0
9	190	1082	0
10	189	1093	0
11	188	1071	0
12	187	1027	0
13	186	1016	0
14	185	1038	0
15	184	1093	0
16	183	1104	0
17	182	1082	0
18	181	1082	0
19	180	1060	0
20	179	1027	0
21	178	1005	0
22	177	972	0
23	176	950	0
24	175	928	0
25	174	994	0
26	173	972	0
27	172	817	0
28	171	917	0
29	170	961	0
30	169	905	0
31	168	1005	0
32	167	1038	0
33	166	1005	0
34	165	1038	0
35	164	1038	0
36	163	1082	0
37	162	1093	0
38	161	1071	0
39	160	1071	0
40	159	1126	0
41	158	1347	0
42	157	890	0
43	156	817	0
44	155	850	0
45	154	475	0
46	153	500	0
47	152	492	0
48	151	469	0
49	150	452	0
50	149	447	0
51	148	441	0
52	147	447	0
53	146	458	0
54	145	464	0
55	144	469	0
56	143	668	0
57	142	890	0
58	141	992	0
59	140	1115	0
60	139	1093	0
61	138	972	0
62	137	1126	0
63	136	1049	0
64	135	1093	0
65	134	1049	0
66	133	1016	0
67	132	939	0
68	131	905	0
69	130	950	0
70	129	939	0
71	128	950	0
72	127	983	0
73	126	983	0
74	125	1027	0
75	124	1093	0
76	123	894	0
77	122	662	0
78	121	523	0
79	120	945	0
80	119	1171	0
81	118	1160	0
82	117	1038	0
83	116	994	0
84	115	1038	0
85	114	1115	0
86	113	1138	0
87	112	1038	0
88	111	928	0
89	110	917	0
90	109	939	0
91	108	961	0
92	107	950	0
93	106	994	0
94	105	1049	0
95	104	1027	0
96	103	983	0
97	102	972	0
98	101	939	0
99	100	939	0
100	99	850	0
101	98	806	0
102	97	839	0
103	96	795	0
104	95	861	0
105	94	1049	0
106	93	1082	0
107	92	1016	0
108	91	1049	0
109	90	1071	0
110	89	1126	0
111	88	1204	0
112	87	1138	0
113	86	883	0
114	85	905	0
115	84	1149	0
116	83	961	0
117	82	972	0
118	81	1071	0
119	80	1049	0
120	79	1049	0
121	78	1082	0
122	77	1038	0
123	76	1060	0
124	75	1060	0
125	74	1104	0
126	73	1149	0
127	72	1060	0
128	71	872	0
129	70	1005	0
130	69	1270	0
131	68	1314	0
132	67	1182	0
133	66	1259	0
134	65	1281	0
135	64	1314	0
136	63	1226	0
137	62	894	0
138	61	673	0
139	60	828	0
140	59	992	0
141	58	1104	0
142	57	1204	0
143	56	1138	0
144	55	1093	0
145	54	1082	0
146	53	1071	0
147	52	1071	0
148	51	1104	0
149	50	1149	0
150	49	1149	0
151	48	1149	0
152	47	1204	0
153	46	1093	0
154	45	1138	0
155	44	1215	0
156	43	1226	0
157	42	1237	0
158	41	1215	0
159	40	1182	0
160	39	1281	0
161	38	1403	0
162	37	1250	0
163	36	984	0
164	35	1049	0
165	34	1082	0
166	33	1038	0
167	32	1071	0
168	31	994	0
169	30	1027	0
170	29	1049	0
171	28	1082	0
172	27	1138	0
173	26	1038	0
174	25	1049	0
175	24	1149	0
176	23	1082	0
177	22	1038	0
178	21	961	0
